_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
62.0,1568.6089506149292,222768,0.015873015872990677,295,0,5904,MILP,{},integer optimal solution,101,1.3793220520019531,3056,45896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848,62.0,dr_bf_f:43n-176m-EuroLarge_30_15_16_1.0,63.0
22.0,115.80919647216797,5348,0.0,624,0,580,MILP,{},integer optimal solution,101,0.11807012557983398,292,1222,0,0,24,0,0,0,11,0,45,0,10,0,0,0,22,0,0,0,24,288,9.916666666666666,dr_bf_f:22n-70m-British-telecom_100_50_12_0.5,22.0
32.0,128.30770778656006,10820,0.0,1938,0,2300,MILP,{},integer optimal solution,101,0.1812911033630371,2292,1724,0,0,6,0,0,63,69,0,4,0,21,0,0,0,40,0,0,0,16,8,8.647619047619047,dr_bf_m:19n-76m-EON19_30_9_26_0.2,32.0
38.0,30918.729741096497,46421,0.0,93304,8134,996,MILP,{},integer optimal solution,101,15.15742301940918,972,9342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,9,24,12.0,dr_bf_c:21n-70m-SpanishTelefonica_30_15_12_1.0,38.0
nan,106666.87501716614,309855,nan,0,0,3288,MILP,{},"time limit exceeded, no integer solution",108,60.00342893600464,3240,62172,,,,,,,,,,,,,,,,,,,,48,24.0,dr_bf_c:30n-112m-Spain_100_30_24_1.0,
29.0,205.15277862548828,36100,0.0,66,0,1140,MILP,{},integer optimal solution,101,0.17004799842834473,740,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,29.0,dr_bf_f:6n-9m-n6s9_10_3_20_1.0,29.0
69.0,1167.6731119155884,22670,0.0,11472,587,1030,MILP,{},integer optimal solution,101,1.5441398620605469,550,4815,0,0,77,0,0,0,58,0,156,8,32,8,10,0,0,0,0,0,74,480,22.538888888888884,dr_bf_f:15n-46m-NSF_100_10_60_0.2,69.0
191.0,13367.30978012085,1524336,0.0,790,0,13596,MILP,{},integer optimal solution,101,14.525142908096313,,308517,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,191.0,dr_ob_m:21n-70m-SpanishTelefonica_30_3_66_1.0,191.0
18.999999999999996,106878.81901073456,7658,0.5681818181805269,407031,26307,410,MILP,{},time limit exceeded,107,60.00230407714844,400,1545,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8797,6,10,5.0,dr_bf_c:19n-76m-EON19_100_30_26_0.2,44.0
25.005356642236375,112239.37792015076,7058,0.10695154849117607,1263327,82084,380,MILP,{},time limit exceeded,107,60.00248384475708,370,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,15,10,5.0,dr_bf_c:21n-70m-SpanishTelefonica_100_50_12_0.5,28.0
50.0,304.05539321899414,24868,0.0,1540,0,2172,MILP,{},integer optimal solution,101,0.3975198268890381,2156,4986,0,0,14,0,0,22,111,0,0,0,21,0,0,0,29,0,0,0,79,16,33.916666666666664,dr_bf_m:21n-70m-SpanishTelefonica_10_3_22_0.5,50.0
199.0,15130.740030288696,782544,0.0,716,0,8880,MILP,{},integer optimal solution,101,12.185785055160522,5520,159240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360,199.0,dr_bf_f:28n-68m-EON_10_1_48_1.0,199.0
nan,108654.02302837372,259190,nan,0,0,2720,MILP,{},"time limit exceeded, no integer solution",108,60.00285887718201,2656,52176,,,,,,,,,,,,,,,,,,,,64,32.0,dr_bf_c:11n-52m-Pan-European-COST239_100_10_94_0.5,
37.0,428.842041015625,10360,0.0,1669,0,890,MILP,{},integer optimal solution,101,0.4544811248779297,450,2290,0,0,39,0,0,0,20,0,77,0,2,0,10,0,12,0,0,0,68,440,15.222222222222221,dr_bf_f:24n-86m-UBN24_100_30_22_0.2,37.0
109.0,3385.5014877319336,86466,0.0,8521,0,7320,MILP,{},integer optimal solution,101,6.7629780769348145,7294,16318,0,0,115,0,0,284,633,0,2,0,40,0,0,0,0,0,0,0,224,26,40.11309523809522,dr_bf_m:24n-86m-UBN24_10_1_70_0.2,109.0
